Contributor,Total,To Dems,To Repubs,To liberal groups,To conservative groups,To nonpartisan groups,Lean
Lockheed Martin,6369292,2969609,3291059,53735,24886,128,Leans Republican
Raytheon Technologies,6049335,3242654,2666259,82002,14249,355,Leans Democrat
Northrop Grumman,5309690,2848500,2398115,39015,6289,20,Leans Democrat
General Dynamics,3419029,1731092,1615136,34247,1925,0,Leans Democrat
L3Harris Technologies,2677569,1379602,1272545,12191,740,600,Leans Democrat
General Atomics,2523366,694352,1460794,26317,338155,50,Leans Republican
Anduril Industries,2466816,78530,2387986,0,0,0,Leans Republican
Leidos Inc,2043239,1090873,908614,14784,7950,0,Leans Democrat
BAE Systems,1564555,846446,701498,8787,285,0,Leans Democrat
COLSA Corp,1487122,16200,445386,163,1025000,0,Leans Conservative
Huntington Ingalls Industries,1118403,520099,591940,415,616,0,Leans Republican
Booz Allen Hamilton,1071096,782799,259250,20614,2320,0,Leans Democrat
MITRE Corp,799308,681414,85451,26773,0,0,Leans Democrat
CACI International,587625,257402,318075,8755,1425,0,Leans Republican
Sierra Nevada Corp,572389,202139,369319,1750,0,0,Leans Republican
Sandia National Laboratories,532996,412769,103486,11145,350,0,Leans Democrat
Boeing Co,492078,224067,262567,4263,0,0,Leans Republican
Xtreme Concepts,479926,26,479900,0,0,0,Leans Republican
Veterans Evaluation Services,468015,20306,390631,10000,0,50000,Leans Republican
Emergent BioSolutions,455767,135556,318730,1825,0,0,Leans Republican
