Contributor,Total,To Dems,To Repubs,To liberal groups,To conservative groups,To nonpartisan groups,Lean
Lockheed Martin,3911750,1629529,2247614,3800,5412,250,Leans Republican
Boeing Co,3298025,1626992,1642819,14990,5454,200,Leans Republican
Northrop Grumman,3251811,1345068,1857777,1370,34898,0,Leans Republican
Raytheon Co,2291959,878989,1362658,4221,17128,100,Leans Republican
General Dynamics,1720893,735299,980931,600,1062,0,Leans Republican
United Technologies,1348879,542731,791397,0,7372,0,Leans Republican
Electroimpact Inc,1104090,3136,90954,0,1010000,0,Leans Conservative
BAE Systems,1022420,432365,584962,1250,443,0,Leans Republican
Harris Corp,988932,486979,501488,0,325,0,Leans Republican
Bollinger Shipyards,975228,457,756698,0,218073,0,Leans Republican
Huntington Ingalls Industries,899076,364910,533861,0,300,0,Leans Republican
Orbital ATK,660350,228254,431683,0,0,211,Leans Republican
L-3 Communications,635769,218220,416434,150,400,0,Leans Republican
Leidos Inc,494355,193628,298461,700,5225,211,Leans Republican
SAIC,460630,171385,285096,784,1755,0,Leans Republican
Emergent BioSolutions,405777,105719,297850,0,2208,0,Leans Republican
Technical Solutions Group,390800,30800,0,360000,0,0,Leans Liberal
Sierra Nevada Corp,385145,46517,338628,0,0,0,Leans Republican
General Electric,311500,116000,194500,0,0,0,Leans Republican
Leonardo DRS,274228,91478,182450,0,300,0,Leans Republican
