Company,2012,2014,2016,2018,2020,2022,2024,,,,,,,,,,,,,,1
Alphabet,18220000,16830000,15430000,22010000,8850000,13184000,14790000,,,,,,,,,,,,,,2
Nvidia,0,0,0,0,0,0,640000,,,,,,,,,,,,,,2
Microsoft,8086000,8330000,8710000,9590000,9464000,10529926,10353764,,,,,,,,,,,,,,1
Apple,1970000,4110000,4670000,6680000,6650000,9360000,7820000,,,,,,,,,,,,,,1
META,3850000,9340000,8692000,12620000,19680000,19150000,24430000,,,,,,,,,,,,,,0
Amazon,2500000,4740000,11020000,14190000,17860000,21460000,19140000,,,,,,,,,,,,,,1
Tesla,0,0,820000,890000,400000,770000,750000,,,,,,,,,,,,,,2
